PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,上賀茂朝露ケ原町,17000000,,４ＬＤＫ,70,,,,,1989年,ＲＣ,住宅,,,,,第１種住居地域,60,200,2010年第3四半期,未改装,
不動産取引価格情報,宅地(土地と建物),商業地,26101,京都府,京都市北区,紫野下門前町,100000000,,,135,,ほぼ長方形,8.6,250,1995年,鉄骨造,住宅、作業場、店舗,,東,市道,11,近隣商業地域,80,200,2010年第3四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,紫野上野町,23000000,,,115,,ほぼ台形,9.2,,1972年,鉄骨造,共同住宅、事務所,,東,市道,11,第１種住居地域,60,200,2010年第3四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,平野鳥居前町,18000000,,,45,,ほぼ長方形,6,85,1989年,木造,住宅,,北,私道,3,第２種中高層住居専用地域,60,200,2010年第3四半期,,私道を含む取引
不動産取引価格情報,宅地(土地),住宅地,26101,京都府,京都市北区,小山上初音町,160000000,1300000,,410,380000,ほぼ長方形,14,, ,,,,北,市道,6,第１種低層住居専用地域,60,100,2010年第2四半期,,
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,衣笠東開キ町,4900000,,１Ｋ,15,,,,,1994年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60,200,2010年第2四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,衣笠西馬場町,27000000,,,65,,ほぼ長方形,7.5,70,2000年,木造,住宅,,北,市道,7,第１種低層住居専用地域,50,80,2010年第2四半期,,
不動産取引価格情報,宅地(土地),住宅地,26101,京都府,京都市北区,上賀茂朝露ケ原町,200000,7400,,90,2200,ほぼ台形,,, ,,,,北,道路,,第１種住居地域,60,200,2010年第2四半期,,隣地の購入
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大宮南山ノ前町,41000000,,,85,,ほぼ長方形,6.3,100,2010年,木造,住宅,,南,市道,6,第１種中高層住居専用地域,60,200,2010年第2四半期,,
不動産取引価格情報,宅地(土地),住宅地,26101,京都府,京都市北区,大北山原谷乾町,9500000,190000,,165,58000,不整形,7,, ,,,,西,市道,3.7,準工業地域,60,200,2010年第2四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,5000000,,,45,,ほぼ長方形,4.5,55,1981年,木造,住宅,,南,農道,6,準工業地域,60,200,2010年第2四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,10000000,,,55,,ほぼ長方形,5.2,110,1990年,木造,住宅,,東,市道,4,準工業地域,60,200,2010年第2四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,出雲路松ノ下町,19000000,,,55,,ほぼ長方形,4.7,70, ,木造,住宅,,西,市道,3.4,第１種低層住居専用地域,60,100,2010年第4四半期,,
不動産取引価格情報,宅地(土地),住宅地,26101,京都府,京都市北区,大北山原谷乾町,13000000,190000,,230,56000,ほぼ長方形,15,, ,,,,西,私道,6,準工業地域,60,200,2010年第4四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,29000000,,,165,,不整形,7,105,2010年,木造,住宅,,西,農道,5,準工業地域,60,200,2010年第4四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,21000000,,,890,,ほぼ台形,35.8,230,1968年,ＲＣ,共同住宅,,南東,農道,7.1,準工業地域,60,200,2010年第4四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,13000000,,,75,,ほぼ長方形,4.7,80,1998年,木造,住宅,,南,私道,6,準工業地域,60,200,2010年第4四半期,,
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,大北山原谷乾町,6800000,,３ＬＤＫ,65,,,,,1993年,ＲＣ,住宅,,,,,準工業地域,60,200,2010年第4四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,3800000,,,80,,ほぼ長方形,,125,1993年,ＲＣ、木造,住宅,,南,私道,5,準工業地域,60,200,2010年第4四半期,,調停・競売等
