PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,宅地(土地),住宅地,26107,京都府,京都市南区,吉祥院石原京道町,26000000,1600000,,55,480000,ほぼ長方形,5.2,, ,,,,東,市道,6,工業地域,,,2005年第3四半期,,
不動産取引価格情報,宅地(土地),住宅地,26107,京都府,京都市南区,吉祥院西定成町,19000000,530000,,120,160000,不整形,,, ,,,,南,市道,6,工業地域,,,2005年第3四半期,,
不動産取引価格情報,宅地(土地と建物),工業地,26107,京都府,京都市南区,上鳥羽北戒光町,110000000,,,800,,台形,15.1,660,1970年,鉄骨造,工場,,西,市道,5.9,工業地域,60,200,2005年第3四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26107,京都府,京都市南区,東九条中御霊町,25000000,,,100,,台形,9,140, ,木造,住宅,,南西,府道,14.7,近隣商業地域,80,300,2005年第3四半期,,
不動産取引価格情報,中古マンション等,,26107,京都府,京都市南区,東九条宇賀辺町,8000000,,２ＤＫ,45,,,,,1993年,ＳＲＣ,住宅,,,,,商業地域,80,600,2005年第3四半期,未改装,
不動産取引価格情報,中古マンション等,,26107,京都府,京都市南区,東九条宇賀辺町,7500000,,２ＬＤＫ,45,,,,,1993年,ＳＲＣ,住宅,,,,,商業地域,80,600,2005年第3四半期,改装済み,
不動産取引価格情報,中古マンション等,,26107,京都府,京都市南区,東九条宇賀辺町,7500000,,２ＬＤＫ,45,,,,,1993年,ＳＲＣ,住宅,,,,,商業地域,80,600,2005年第3四半期,改装済み,
不動産取引価格情報,中古マンション等,,26107,京都府,京都市南区,東九条明田町,11000000,,４ＤＫ,60,,,,,1986年,ＲＣ,住宅,,,,,第２種住居地域,60,200,2005年第3四半期,改装済み,
不動産取引価格情報,宅地(土地と建物),住宅地,26107,京都府,京都市南区,東九条北烏丸町,43000000,,,95,,ほぼ長方形,6.7,95,2005年,木造,住宅,,南,市道,5.6,第２種住居地域,60,200,2005年第3四半期,,
不動産取引価格情報,宅地(土地),商業地,26107,京都府,京都市南区,西九条東島町,20000000,570000,,115,170000,台形,4.3,, ,,,,西,市道,27,近隣商業地域,80,300,2005年第3四半期,,
