PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,大原野上里勝山町,36000000,,,110,,ほぼ長方形,7,85,2017年,木造,住宅,住宅,南,市道,12,第２種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,大原野上里男鹿町,32000000,,,100,,ほぼ長方形,7,85,2016年,木造,住宅,住宅,南,市道,5,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,大原野西竹の里町,17000000,,,105,,長方形,6.5,95,1980年,木造,住宅,倉庫,北,市道,6,第１種中高層住居専用地域,60,200,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,大原野上里紅葉町,32000000,,,240,,ほぼ長方形,15,85,1967年,木造,住宅,住宅,南,市道,6,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,桂池尻町,24000000,,,55,,長方形,4.1,75,2007年,木造,住宅,住宅,東,私道,5,第１種中高層住居専用地域,60,200,2017年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,桂艮町,13000000,,,65,,長方形,4.6,70,1980年,木造,住宅、店舗,住宅,西,市道,6,第１種低層住居専用地域,60,100,2017年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26111,京都府,京都市西京区,桂艮町,32000000,690000,,150,210000,ほぼ長方形,,, ,,,住宅,北,私道,4,第１種低層住居専用地域,60,100,2017年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,桂坤町,32000000,,,130,,ほぼ長方形,8.8,115,1986年,木造,住宅,住宅,西,私道,4.3,第１種低層住居専用地域,60,100,2017年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,桂坤町,26000000,,,95,,ほぼ長方形,6,75,1972年,木造,住宅,住宅,西,私道,5,第１種低層住居専用地域,60,100,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,下津林大般若町,7200000,,,40,,長方形,3.6,45,1971年,木造,住宅,,西,市道,5.4,第１種中高層住居専用地域,60,200,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,下津林大般若町,29000000,,,55,,ほぼ長方形,4.2,85,2017年,木造,住宅,住宅,南,私道,5,第１種中高層住居専用地域,60,200,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,御陵谷町,2700000,,,70,,袋地等,,60,1972年,木造,住宅,住宅,西,私道,5.3,第１種低層住居専用地域,50,60,2017年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,山田大吉見町,27000000,,,125,,長方形,8,85,1976年,木造,住宅,住宅,北,市道,6,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,山田上ノ町,36000000,,,120,,ほぼ長方形,10,90,2017年,木造,住宅,住宅,北,市道,3,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,大枝沓掛町,8900000,,,45,,ほぼ長方形,5,90,1993年,木造,住宅、駐車場,,西,市道,5,準住居地域,60,300,2017年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26111,京都府,京都市西京区,桂久方町,51000000,680000,,250,210000,不整形,15,, ,,,住宅,南西,市道,5,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,川島粟田町,21000000,,,140,,長方形,9,115,1968年,木造,共同住宅,,西,私道,6,第１種低層住居専用地域,60,100,2017年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,川島粟田町,37000000,,,85,,長方形,6.5,85,2016年,木造,住宅,住宅,南,私道,4,第１種低層住居専用地域,60,100,2017年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26111,京都府,京都市西京区,川島桜園町,66000000,1100000,,190,350000,長方形,10,, ,,,住宅,南,市道,5,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26111,京都府,京都市西京区,川島桜園町,31000000,930000,,110,280000,長方形,7.1,, ,,,住宅,北,市道,6,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,川島調子町,52000000,,,115,,ほぼ台形,14,95,2017年,木造,住宅,住宅,東,私道,6,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,川島調子町,43000000,,,110,,ほぼ長方形,8.1,105,2016年,木造,住宅,住宅,南,市道,6,第１種低層住居専用地域,60,100,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,御陵大枝山町,32000000,,,190,,ほぼ長方形,12.2,165,1989年,木造,住宅,住宅,北,市道,6,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,御陵北山町,14000000,,,110,,ほぼ台形,11,165,1988年,木造,住宅、駐車場、その他,住宅,北,市道,6,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26111,京都府,京都市西京区,松室田中町,38000000,,,130,,ほぼ長方形,7.7,105,2017年,木造,住宅,住宅,北西,市道,2.7,第１種低層住居専用地域,50,80,2017年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26111,京都府,京都市西京区,嵐山中尾下町,30000000,460000,,210,140000,不整形,,, ,,,住宅,南西,私道,5,第２種住居地域,60,200,2017年第1四半期,,私道を含む取引
不動産取引価格情報,中古マンション等,,26111,京都府,京都市西京区,大枝北沓掛町,12000000,,３ＬＤＫ,85,,,,,1991年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,50,150,2017年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26111,京都府,京都市西京区,樫原芋峠,8000000,,３ＬＤＫ,60,,,,,1992年,ＲＣ,住宅,住宅,,,,市街化調整区域,60,200,2017年第1四半期,未改装,
