PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,石田大受町,25000000,,,105,,ほぼ長方形,8,95,2006年,木造,住宅,,西,私道,4,第１種中高層住居専用地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,小栗栖森本町,16000000,,,85,,台形,11.7,90,1981年,木造,住宅,,北西,市道,6,第１種中高層住居専用地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,久我本町,25000000,,,165,,長方形,9.1,115,2001年,木造,住宅,,西,市道,5,第１種中高層住居専用地域,60,200,2007年第1四半期,,
不動産取引価格情報,中古マンション等,,26109,京都府,京都市伏見区,久我本町,10000000,,３ＬＤＫ,65,,,,,1990年,ＳＲＣ,住宅,,,,,工業地域,60,200,2007年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,醍醐御園尾町,23000000,,,55,,長方形,4.5,90,2007年,木造,住宅,,南,市道,6,第１種中高層住居専用地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,竹田久保町,12000000,,,110,,ほぼ長方形,9.8,140,1979年,木造,共同住宅,,東,私道,4,準工業地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,竹田七瀬川町,41000000,,,170,,ほぼ長方形,8.2,185,1981年,鉄骨造、木造,住宅,,北東,市道,6,準工業地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,深草大亀谷大山町,30000000,720000,,140,220000,長方形,7.2,, ,,,,北,市道,6,第１種低層住居専用地域,50,80,2007年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,深草大亀谷六躰町,290000,78000,,10,23000,長方形,14,, ,,,,北,市道,6,第１種低層住居専用地域,50,80,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,深草小久保町,34000000,,,75,,不整形,10.5,190,2000年,鉄骨造,住宅,,北,市道,7.4,第１種住居地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,深草小久保町,15000000,,,55,,ほぼ台形,9,60,1973年,木造,住宅,,北,市道,5.8,第１種住居地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,深草小久保町,100000000,500000,,670,150000,長方形,24,, ,,,,南,市道,8,準工業地域,60,200,2007年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,深草谷口町,20000000,,,190,,不整形,3.2,80,1974年,軽量鉄骨造,住宅,,東,市道,6.1,第１種低層住居専用地域,40,60,2007年第1四半期,,
不動産取引価格情報,中古マンション等,,26109,京都府,京都市伏見区,深草出羽屋敷町,10000000,,３ＬＤＫ,70,,,,,1972年,ＳＲＣ,住宅,,,,,第２種住居地域,60,200,2007年第1四半期,改装済み,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,深草綿森町,25000000,,,110,,長方形,8,95,1980年,木造,住宅,,西,私道,2.7,第１種住居地域,60,200,2007年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),商業地,26109,京都府,京都市伏見区,向島橋詰町,20000000,,,95,,台形,22,170,1991年,鉄骨造,事務所、店舗,,東,国道,28,準住居地域,60,300,2007年第1四半期,,
