PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦蜂岡町,14000000,,３ＬＤＫ,60,,,,70,1981年,木造,,,西,私道,5,第１種中高層住居専用地域,60,200,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦蜂岡町,11000000,,４Ｋ,60,,,,60,1963年,木造,,,南,私道,4,第１種中高層住居専用地域,60,160,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦松本町,5700000,,３Ｋ,40,,,,50,1975年,木造,,,西,私道,4.5,第１種住居地域,60,200,2022年第1四半期,,
成約価格情報,中古マンション等,,26108,京都府,京都市右京区,太秦森ケ東町,3900000,,１Ｒ,15,,,,,1988年,ＲＣ,,,,,,第１種住居地域,,,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦森ケ東町,24000000,,４ＬＤＫ,80,,,,90,2001年,木造,,,北,私道,6,第１種住居地域,60,200,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦安井二条裏町,28000000,,３ＬＤＫ,45,,,,80, ,木造,,,南,私道,4,工業地域,60,200,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦安井二条裏町,30000000,,３ＬＤＫ,45,,,,80, ,木造,,,南,私道,4,工業地域,60,200,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,太秦安井二条裏町,28000000,,５Ｋ,105,,,,115,1988年,木造,,,東,私道,4.9,工業地域,60,200,2022年第1四半期,,
成約価格情報,宅地(土地と建物),,26108,京都府,京都市右京区,梅津坂本町,28000000,,３ＬＤＫ,75,,,,80,2021年,木造,,,西,公道,5,第１種中高層住居専用地域,60,200,2022年第1四半期,,
成約価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津罧原町,4600000,,１Ｒ,30,,,,,1973年,ＲＣ,,,,,,第１種中高層住居専用地域,,,2022年第1四半期,改装済み,
