PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,太秦藤ケ森町,17000000,,,85,,ほぼ長方形,8.5,, ,木造,住宅,,南,市道,4.1,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,太秦森ケ東町,6500000,,１ＬＤＫ,25,,,,,1988年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,太秦安井二条裏町,4000000,,,35,,ほぼ長方形,2.7,35,1965年,木造,住宅,住宅,南,私道,5,工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,宇多野長尾町,31000000,,,130,,台形,12.8,165,1998年,木造,住宅,,東,国道,11,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,梅津坂本町,19000000,,,65,,ほぼ長方形,4.8,75,2000年,木造,住宅,住宅,北東,市道,6,第１種中高層住居専用地域,60,200,2015年第1四半期,,調停・競売等
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,梅津罧原町,9000000,,,200,,ほぼ整形,,85,1991年,木造,住宅、駐車場,住宅,北,私道,5,第１種中高層住居専用地域,60,200,2015年第1四半期,,調停・競売等、私道を含む取引
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,西院小米町,21000000,,１ＬＤＫ,60,,,,,2002年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,西院小米町,30000000,370000,,270,110000,ほぼ長方形,5.3,, ,,,,東,市道,5.2,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,西院高田町,18000000,,１ＤＫ,50,,,,,2002年,ＲＣ,住宅,,,,,商業地域,80,600,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,西院西今田町,14000000,860000,,55,260000,ほぼ長方形,4.7,, ,,,住宅,東,私道,1.6,準工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西院西今田町,26000000,,,55,,ほぼ長方形,4.7,70,2015年,木造,住宅,住宅,東,私道,2.8,準工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地),商業地,26108,京都府,京都市右京区,西院西今田町,40000000,880000,,150,260000,不整形,5.9,, ,,,,北,市道,11,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26108,京都府,京都市右京区,西院西今田町,430000000,,,1200,,ほぼ長方形,23.5,9999,1990年,ＲＣ,共同住宅、駐車場、店舗,その他,西,市道,11,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,西院西今田町,51000000,640000,,270,190000,長方形,23.5,, ,,,,東,私道,2,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西院高田町,22000000,,,75,,不整形,1.7,60,2014年,木造,住宅,住宅,北,私道,4,準工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,嵯峨朝日町,50000000,,,180,,袋地等,8,140,1974年,木造,住宅,住宅,西,私道,4.5,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,嵯峨朝日町,9900000,,,70,,,,,1988年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,嵯峨小倉山山本町,45000000,,,550,,ほぼ長方形,11.2,70,1967年,木造,住宅,住宅,東,市道,2.7,第１種低層住居専用地域,30,50,2015年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,嵯峨石ケ坪町,63000000,550000,,380,170000,ほぼ長方形,13,, ,,,,北,市道,6,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,嵯峨野清水町,3800000,,,35,,長方形,2.7,45,1965年,木造,,住宅,北,私道,4,第１種中高層住居専用地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,谷口梅津間町,19000000,,,55,,長方形,4.6,140,1991年,木造,住宅,住宅,北,道路,6,第１種低層住居専用地域,50,80,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,山ノ内宮前町,11000000,,,60,,長方形,4.2,60,1975年,木造,住宅,住宅,北,私道,2.8,工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,林地,,26108,京都府,京都市右京区,京北塩田町,80000,,,1600,,,,, ,,,,,,,,,,2015年第1四半期,,
不動産取引価格情報,林地,,26108,京都府,京都市右京区,京北辻町,6000000,,,8888,,,,, ,,,,,,,,,,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,太秦桂木町,3700000,,１Ｋ,20,,,,,1989年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,200,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,太秦北路町,19000000,470000,,135,140000,ほぼ台形,15,, ,,,事務所,南西,市道,4.2,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26108,京都府,京都市右京区,太秦御所ノ内町,22000000,,,55,,長方形,4.5,125,1953年,木造,住宅、事務所,その他,北,府道,9,近隣商業地域,80,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26108,京都府,京都市右京区,太秦御所ノ内町,8000000,,,45,,長方形,3.6,55,1964年,木造,住宅、店舗,その他,西,市道,6,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,太秦三尾町,50000000,,,340,,不整形,6,115,2008年,木造,住宅,住宅,北,私道,6,第１種低層住居専用地域,40,60,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,太秦袴田町,29000000,,,75,,ほぼ正方形,9.1,80,2015年,木造,住宅,住宅,西,市道,6,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,太秦袴田町,28000000,,,70,,ほぼ長方形,5.9,80,2015年,木造,住宅,住宅,北,私道,6,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,宇多野法安寺町,58000000,,,210,,ほぼ長方形,10.1,105,2012年,木造,住宅,住宅,西,市道,4.4,第１種低層住居専用地域,50,80,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津大縄場町,17000000,,３ＬＤＫ,80,,,,,1976年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2015年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津大縄場町,7000000,,３ＬＤＫ,80,,,,,1978年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2015年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津大縄場町,18000000,,４ＬＤＫ,100,,,,,1976年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2015年第1四半期,改装済み,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,梅津北町,23000000,790000,,95,240000,ほぼ長方形,4.3,, ,,,住宅,南東,市道,4,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,梅津神田町,18000000,,,80,,ほぼ整形,7,115,1992年,木造,住宅,住宅,南東,市道,4,工業地域,60,300,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,梅津南町,14000000,,,50,,ほぼ長方形,3.9,70,1998年,木造,住宅,住宅,北,私道,6,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津南広町,14000000,,３ＬＤＫ,70,,,,,1979年,ＲＣ,住宅,住宅,,,,工業地域,60,200,2015年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津南広町,14000000,,２ＤＫ,65,,,,,1982年,ＳＲＣ,住宅,住宅,,,,工業地域,60,300,2015年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,梅津南広町,10000000,,２ＬＤＫ,60,,,,,1979年,ＲＣ,住宅,住宅,,,,工業地域,60,200,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西院上今田町,6500000,,,45,,ほぼ長方形,5.3,30, ,木造,住宅,住宅,南,私道,1.8,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,嵯峨天龍寺油掛町,17000000,,,45,,ほぼ長方形,3.6,70,2005年,木造,住宅,住宅,北,私道,5,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,嵯峨中通町,50000000,,,140,,ほぼ長方形,6.9,105,2015年,木造,住宅,住宅,西,市道,5.7,第１種中高層住居専用地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,嵯峨野秋街道町,30000000,,,90,,ほぼ長方形,4.3,80,2015年,木造,住宅,住宅,南,私道,5,準工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地),宅地見込地,26108,京都府,京都市右京区,鳴滝嵯峨園町,100000000,480000,,710,150000,長方形,16.1,, ,,,,西,道路,6,第１種低層住居専用地域,50,80,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,鳴滝嵯峨園町,25000000,630000,,130,190000,長方形,6.8,, ,,,住宅,南,私道,4,第１種低層住居専用地域,50,80,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西京極郡町,39000000,,,80,,ほぼ長方形,5,90,2015年,木造,住宅,住宅,南,市道,6,第１種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西京極堤下町,1200000,,,45,,ほぼ台形,5,50,1968年,木造,住宅,住宅,北東,私道,5,工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西京極堤下町,6000000,,,65,,長方形,3.8,80,1976年,木造,住宅,住宅,西,市道,6,工業地域,60,200,2015年第1四半期,,関係者間取引
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,西京極中沢町,17000000,,,65,,,,,1998年,ＲＣ,住宅,住宅,,,,工業地域,60,200,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26108,京都府,京都市右京区,西京極徳大寺団子田町,6000000,350000,,55,110000,ほぼ台形,5.2,, ,,,倉庫,北,市道,16,第２種住居地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,西京極徳大寺団子田町,10000000,,,160,,袋地等,,65,1960年,木造,住宅,住宅,南,私道,4,準工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,西京極西池田町,17000000,,１Ｋ,25,,,,,2007年,ＲＣ,住宅,その他,,,,商業地域,80,400,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,花園扇野町,28000000,,,80,,ほぼ長方形,6.7,75,2015年,木造,住宅,住宅,東,道路,4,第２種住居地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,山ノ内苗町,59000000,,,220,,ほぼ長方形,9.4,95, ,木造,住宅、作業場,その他,南,市道,3.1,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,山ノ内苗町,9400000,,,35,,ほぼ長方形,5.5,55,1989年,木造,住宅,住宅,北,私道,4,準工業地域,60,200,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,山ノ内瀬戸畑町,33000000,,,135,,袋地等,3,95,2015年,木造,住宅,住宅,西,私道,2.5,準工業地域,60,200,2015年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,京北下弓削町,7800000,,,270,,長方形,18.1,150,1990年,木造,住宅,住宅,東,市道,5,都市計画区域外,,,2015年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,京北浅江町,2500000,,,310,,ほぼ長方形,20,220,1986年,鉄骨造,住宅、事務所、倉庫,,東,市道,5,都市計画区域外,,,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,太秦乾町,23000000,,３ＬＤＫ,70,,,,,2002年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2015年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26108,京都府,京都市右京区,太秦乾町,31000000,,,75,,ほぼ台形,7.4,75,2015年,木造,住宅,住宅,南,私道,6,第１種中高層住居専用地域,60,200,2015年第1四半期,,
不動産取引価格情報,中古マンション等,,26108,京都府,京都市右京区,太秦垣内町,4100000,,１ＬＤＫ,15,,,,,1989年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,200,2015年第1四半期,未改装,
