PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,宅地(土地と建物),住宅地,26104,京都府,京都市中京区,聚楽廻西町,130000000,,,350,,長方形,11.8,580,1994年,鉄骨造,共同住宅、駐車場,,東,市道,4.8,第１種低層住居専用地域,60,200,2012年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26104,京都府,京都市中京区,聚楽廻西町,29000000,,,50,,長方形,4.4,85,2012年,木造,住宅,,東,市道,4.8,第１種住居地域,60,200,2012年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26104,京都府,京都市中京区,聚楽廻東町,8000000,,,50,,長方形,4,35,1968年,木造,住宅,,東,市道,3.8,第１種住居地域,60,200,2012年第1四半期,,
不動産取引価格情報,宅地(土地),商業地,26104,京都府,京都市中京区,聚楽廻中町,44000000,1200000,,120,360000,ほぼ長方形,15,, ,,,,北,府道,24,商業地域,80,400,2012年第1四半期,,
不動産取引価格情報,中古マンション等,,26104,京都府,京都市中京区,西ノ京原町,23000000,,２ＬＤＫ,65,,,,,1988年,ＲＣ,住宅,,,,,準工業地域,60,200,2012年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26104,京都府,京都市中京区,壬生辻町,28000000,,３ＬＤＫ,70,,,,,1998年,ＲＣ,住宅,,,,,準工業地域,60,200,2012年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26104,京都府,京都市中京区,壬生高樋町,55000000,,,100,,長方形,8.5,110,2012年,木造,住宅,,南,市道,5,準工業地域,60,200,2012年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26104,京都府,京都市中京区,壬生中川町,16000000,,,45,,ほぼ長方形,5,25, ,木造,住宅,,南,市道,3,準工業地域,60,200,2012年第1四半期,,
不動産取引価格情報,中古マンション等,,26104,京都府,京都市中京区,壬生辻町,30000000,,３ＬＤＫ,75,,,,,1998年,ＲＣ,住宅,,,,,準工業地域,60,200,2012年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26104,京都府,京都市中京区,壬生坊城町,110000000,,,120,,ほぼ台形,16.6,340,1996年,鉄骨造,共同住宅,,南東,市道,6,商業地域,80,400,2012年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26104,京都府,京都市中京区,教業学区,6700000,510000,,45,160000,ほぼ長方形,4,, ,,,,東,私道,1,第１種住居地域,60,200,2012年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地),住宅地,26104,京都府,京都市中京区,教業学区,5400000,390000,,45,120000,ほぼ長方形,4,, ,,,,東,私道,1,第１種住居地域,60,200,2012年第1四半期,,私道を含む取引
不動産取引価格情報,中古マンション等,,26104,京都府,京都市中京区,竹間学区,5700000,,１Ｋ,20,,,,,1989年,ＲＣ,住宅,,,,,近隣商業地域,80,300,2012年第1四半期,改装済み,
不動産取引価格情報,宅地(土地と建物),商業地,26104,京都府,京都市中京区,竹間学区,21000000,,,55,,ほぼ長方形,4.8,85, ,木造,住宅,,北,市道,6.5,近隣商業地域,80,500,2012年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26104,京都府,京都市中京区,西ノ京左馬寮町,56000000,970000,,190,290000,長方形,9,, ,,,,西,市道,12,準工業地域,60,200,2012年第1四半期,,
不動産取引価格情報,中古マンション等,,26104,京都府,京都市中京区,西ノ京西中合町,19000000,,３ＬＤＫ,55,,,,,1995年,ＲＣ,住宅,,,,,工業地域,60,200,2012年第1四半期,未改装,
