PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,石田森東町,21000000,470000,,145,140000,ほぼ台形,9.3,, ,,,事務所,北,市道,4,第１種中高層住居専用地域,60,200,2016年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,小栗栖森本町,21000000,370000,,190,110000,長方形,12.7,, ,,,住宅,西,市道,6,第２種中高層住居専用地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,小栗栖森本町,19000000,,,95,,ほぼ長方形,6.6,115,1996年,木造,住宅,住宅,北,市道,6,第１種中高層住居専用地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,久我東町,25000000,,,160,,ほぼ台形,9.9,110,1991年,木造,住宅,住宅,南,市道,6,第１種中高層住居専用地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,久我本町,9200000,300000,,100,92000,ほぼ長方形,7.5,, ,,,,南,市道,6,第１種中高層住居専用地域,60,200,2016年第1四半期,,
不動産取引価格情報,中古マンション等,,26109,京都府,京都市伏見区,醍醐大構町,21000000,,３ＬＤＫ,70,,,,,2005年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,300,2016年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26109,京都府,京都市伏見区,竹田七瀬川町,5600000,,２ＬＤＫ,45,,,,,1980年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,300,2016年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,中島河原田町,4900000,,,55,,長方形,5.5,60,1979年,木造,住宅,倉庫,北,市道,6,第１種住居地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,中島河原田町,4900000,,,55,,ほぼ長方形,5.5,60,1979年,木造,住宅,住宅,北,市道,6,第１種住居地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,納所下野,29000000,,,105,,ほぼ長方形,4.5,110,2016年,木造,住宅,住宅,南,私道,6,第２種住居地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26109,京都府,京都市伏見区,羽束師菱川町,23000000,,,100,,ほぼ長方形,5.7,160,1989年,鉄骨造,住宅,住宅,南,府道,22,準工業地域,60,300,2016年第1四半期,,
不動産取引価格情報,宅地(土地),宅地見込地,26109,京都府,京都市伏見区,羽束師菱川町,28000000,150000,,620,45000,ほぼ長方形,10,, ,,,,西,市道,2.9,準工業地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,羽束師菱川町,7500000,,,50,,長方形,5,80,1996年,木造,住宅,住宅,東,市道,6,準工業地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26109,京都府,京都市伏見区,羽束師菱川町,31000000,,,100,,ほぼ長方形,8,105,2016年,,住宅,住宅,南,市道,6,準工業地域,60,200,2016年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26109,京都府,京都市伏見区,羽束師菱川町,13000000,360000,,120,110000,長方形,8.7,, ,,,住宅,北,私道,6,準工業地域,60,200,2016年第1四半期,,
