PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,22000000,,１Ｋ,25,,,,,2016年,ＲＣ,住宅,住宅,,,,第２種住居地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,14000000,,１Ｋ,25,,,,,2007年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,11000000,,１Ｋ,20,,,,,1998年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,小川学区,36000000,1900000,,60,590000,ほぼ長方形,4,, ,,,住宅,南,市道,3,第２種住居地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,春日学区,14000000,,１ＤＫ,20,,,,,2002年,ＲＣ,,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,春日学区,53000000,,,50,,長方形,5,100, ,木造,住宅,住宅,南,市道,5.2,第２種中高層住居専用地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,12000000,,１Ｋ,20,,,,,1994年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,15000000,,１Ｋ,25,,,,,2007年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,17000000,,１Ｒ,35,,,,,1994年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,小川学区,34000000,,５ＤＫ,120,,,,75,1946年,木造,,,,,5,準工業地域,60,200,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,西陣学区,35000000,,２ＬＤＫ＋Ｓ,70,,,,100,2005年,木造,,,東,私道,4,準工業地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,春日学区,26000000,,１ＬＤＫ,60,,,,,1975年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,46000000,,３ＬＤＫ,65,,,,,2007年,ＲＣ,,住宅,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,35000000,,２ＬＤＫ,60,,,,,1986年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,37000000,,３ＬＤＫ,65,,,,,1994年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,11000000,,１Ｋ,35,,,,,1992年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地),商業地,26102,京都府,京都市上京区,成逸学区,25000000,1300000,,60,400000,ほぼ長方形,5.1,, ,,,住宅,東,市道,7.9,近隣商業地域,80,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地),商業地,26102,京都府,京都市上京区,成逸学区,18000000,1200000,,50,350000,ほぼ長方形,4.2,, ,,,住宅,西,市道,7.8,近隣商業地域,80,200,2023年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),商業地,26102,京都府,京都市上京区,成逸学区,93000000,,,125,,不整形,5.1,310,1989年,鉄骨造,共同住宅,住宅,北,市道,5.4,近隣商業地域,80,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,成逸学区,25000000,1200000,,65,380000,ほぼ長方形,4.2,, ,,,住宅,南西,市道,4.2,商業地域,80,600,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,室町学区,14000000,,１Ｋ,25,,,,,2011年,ＲＣ,住宅,その他,,,,第１種住居地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,室町学区,130000000,1900000,,220,560000,長方形,8,, ,,,住宅,南,市道,3.5,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,室町学区,300000000,,,260,,ほぼ整形,9.7,470,2022年,鉄骨造,共同住宅,住宅,東,市道,4.5,第２種住居地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,室町学区,55000000,,,130,,長方形,5,105,1980年,木造,住宅,店舗,北,私道,3,第２種中高層住居専用地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,室町学区,52000000,,２ＬＤＫ,55,,,,,2017年,ＲＣ,住宅,その他,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,室町学区,20000000,,１Ｋ,25,,,,,2011年,ＲＣ,住宅,その他,,,,第１種住居地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,室町学区,73000000,,２ＬＤＫ,65,,,,,2017年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,室町学区,5200000,,１Ｋ,15,,,,,1990年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,仁和学区,19000000,,,60,,,,,1989年,ＳＲＣ,住宅,住宅,,,,商業地域,80,400,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,仁和学区,23000000,,,150,,ほぼ長方形,7.5,250, ,木造,住宅、店舗,住宅,南,市道,2.2,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,仁和学区,18000000,980000,,60,300000,ほぼ長方形,6.2,, ,,,住宅,北,市道,5,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,仁和学区,10000000,,,65,,ほぼ長方形,5,105,1991年,鉄骨造,住宅、作業場,住宅,北,私道,5,第１種住居地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26102,京都府,京都市上京区,仁和学区,26000000,,,65,,ほぼ長方形,5.1,80,1968年,木造,住宅,住宅,北,市道,11,第１種住居地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,仁和学区,24000000,,,55,,長方形,4.4,80, ,木造,住宅,住宅,南,私道,1.3,第１種住居地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,12000000,,１Ｋ,40,,,,,1992年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,桃薗学区,39000000,,２ＬＤＫ,45,,,,75, ,木造,,,西,公道,3.5,準工業地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,39000000,,３ＬＤＫ,70,,,,,2000年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,4500000,,１Ｋ,20,,,,,1988年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,桃薗学区,46000000,,３ＬＤＫ,70,,,,,2007年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,室町学区,47000000,,７ＤＫ,125,,,,125,戦前,木造,,,南,私道,2.6,第２種中高層住居専用地域,60,200,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,室町学区,55000000,,５ＤＫ,120,,,,110,1980年,木造,,,北,私道,3.5,第２種中高層住居専用地域,60,160,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,仁和学区,29000000,,３ＬＤＫ,45,,,,80, ,木造,,,西,公道,4.3,第１種住居地域,60,200,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,仁和学区,31000000,,３ＬＤＫ,50,,,,80, ,木造,,,東,公道,3.9,第１種住居地域,60,160,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,仁和学区,34000000,,３ＬＤＫ,80,,,,75,2022年,木造,,,北,私道,,準工業地域,60,200,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,仁和学区,67000000,,３ＬＤＫ＋Ｓ,110,,,,270,1990年,鉄骨造,,,北,公道,5,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,中立学区,16000000,,１Ｋ,25,,,,,2011年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,中立学区,35000000,,１ＤＫ,55,,,,,1995年,ＲＣ,,住宅,,,,第２種住居地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,中立学区,34000000,,３ＬＤＫ,70,,,,,1997年,ＲＣ,,住宅,,,,第２種住居地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,聚楽学区,18000000,1000000,,55,320000,長方形,6.5,, ,,,住宅,北,市道,3.2,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,聚楽学区,6500000,,,15,,,,,1988年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地),商業地,26102,京都府,京都市上京区,正親学区,280000000,1800000,,510,540000,長方形,19.9,, ,,,住宅,南,市道,13,近隣商業地域,80,300,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,乾隆学区,20000000,,,65,,不整形,,75,1992年,木造,住宅,住宅,南,私道,2.5,準工業地域,80,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,滋野学区,380000000,,,460,,ほぼ整形,10.8,860,1990年,ＲＣ,事務所,住宅,北,市道,12.8,第２種住居地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,翔鸞学区,6000000,,,95,,不整形,3,50,1970年,木造,作業場,店舗,東,道路,1,準工業地域,60,200,2023年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,翔鸞学区,9500000,,,35,,長方形,4,50, ,木造,住宅,住宅,東,市道,5.8,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,翔鸞学区,32000000,,２ＬＤＫ,60,,,,,1996年,ＲＣ,住宅,住宅,,,,準工業地域,60,200,2023年第1四半期,改装済み,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,聚楽学区,20000000,,２ＬＤＫ,60,,,,,1989年,ＲＣ,,,,,,準工業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,聚楽学区,31000000,,３ＬＤＫ,65,,,,,1989年,ＲＣ,,,,,,準工業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,聚楽学区,5900000,,１Ｒ,20,,,,, ,,,,,,,,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,聚楽学区,6500000,,１Ｒ,20,,,,,1988年,ＳＲＣ,,,,,,,,,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,正親学区,26000000,,４ＤＫ,70,,,,80,1981年,木造,,,東,公道,3.9,準工業地域,60,200,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,正親学区,9800000,,４ＤＫ,45,,,,30,戦前,木造,,,北,私道,2.2,準工業地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,乾隆学区,4800000,,１Ｋ,20,,,,,1989年,,,,,,,,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,翔鸞学区,16000000,,１Ｋ,30,,,,,2016年,ＲＣ,,,,,,近隣商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,翔鸞学区,32000000,,２ＬＤＫ,65,,,,,1996年,ＲＣ,,,,,,,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,翔鸞学区,3900000,,１Ｒ,20,,,,,1988年,ＲＣ,,,,,,準工業地域,,,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,5500000,,１Ｋ,20,,,,,1990年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,6800000,,１Ｋ,20,,,,,1990年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,40000000,,３ＬＤＫ,70,,,,,2002年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,17000000,,１Ｋ,25,,,,,2014年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,18000000,,１Ｋ,25,,,,,2017年,ＲＣ,住宅,住宅,,,,準工業地域,60,200,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,44000000,,２ＬＤＫ,65,,,,,2002年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,13000000,,,60,,,,,1972年,ＳＲＣ,住宅,住宅,,,,準工業地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,5800000,,１Ｋ,20,,,,,1990年,ＲＣ,,住宅,,,,商業地域,80,600,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,京極学区,200000000,,,390,,不整形,16.7,320, ,木造,住宅、その他,,南,市道,4.9,第２種中高層住居専用地域,60,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,京極学区,180000000,,２ＬＤＫ,95,,,,,2019年,ＲＣ,住宅,その他,,,,第２種中高層住居専用地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,京極学区,210000000,,４ＬＤＫ,190,,,,,1989年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60,200,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,37000000,,,75,,,,,2009年,ＲＣ,,住宅,,,,準工業地域,60,300,2023年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,出水学区,82000000,1200000,,230,360000,ほぼ長方形,7.5,, ,,,,西,市道,4.2,準工業地域,60,200,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26102,京都府,京都市上京区,出水学区,67000000,,,155,,ほぼ長方形,6.5,155, ,木造,住宅,住宅,南,市道,5.3,近隣商業地域,80,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,38000000,,２ＬＤＫ,80,,,,,1990年,ＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,出水学区,19000000,,,70,,ほぼ長方形,5,70, ,木造,住宅,住宅,東,私道,2.5,準工業地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,12000000,,１Ｒ,25,,,,,2008年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,6800000,,１Ｋ,25,,,,,1990年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,27000000,,３ＬＤＫ,65,,,,,1995年,ＲＣ,,,,,,,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,17000000,,１Ｋ,30,,,,,2014年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,28000000,,３ＬＤＫ,70,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,28000000,,３ＬＤＫ,70,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,12000000,,１Ｋ,25,,,,,2008年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,44000000,,２ＬＤＫ,70,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,嘉楽学区,4700000,,１Ｋ,25,,,,,1984年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,京極学区,70000000,,２ＬＤＫ,80,,,,,2015年,ＲＣ,,,,,,第２種中高層住居専用地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,京極学区,210000000,,３ＬＤＫ,200,,,,,1989年,ＲＣ,,,,,,第２種中高層住居専用地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,待賢学区,55000000,,３ＬＤＫ,100,,,,,1992年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,待賢学区,23000000,,２ＤＫ,50,,,,,1992年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,出水学区,2000000,,２ＤＫ,25,,,,45,1975年,鉄骨造,,,南,私道,3.5,準工業地域,60,200,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,58000000,,４ＬＤＫ,90,,,,,2007年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,14000000,,１Ｋ,25,,,,,2012年,ＲＣ,,,,,,,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,37000000,,２ＬＤＫ,75,,,,,1986年,ＳＲＣ,,,,,,,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,38000000,,３ＬＤＫ＋Ｓ,85,,,,,1990年,ＲＣ,,,,,,第１種住居地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,出水学区,53000000,,３ＬＤＫ,75,,,,,2011年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,出水学区,19000000,,６Ｋ,70,,,,75,1951年,木造,,,東,私道,2.4,準工業地域,60,200,2023年第1四半期,,
成約価格情報,宅地(土地と建物),,26102,京都府,京都市上京区,出水学区,67000000,,,155,,,,90,1950年,木造,,,南,公道,5.4,近隣商業地域,80,200,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,32000000,,２ＬＤＫ,55,,,,,1994年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,2023年第2四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26102,京都府,京都市上京区,小川学区,38000000,1900000,,65,570000,ほぼ長方形,5.6,, ,,,住宅,南,市道,11.4,準工業地域,60,200,2023年第2四半期,,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,西陣学区,25000000,,オープンフロア,85,,,,,1999年,鉄骨造,,店舗,,,,商業地域,80,600,2023年第2四半期,改装済み,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,春日学区,32000000,,３ＬＤＫ,80,,,,,1975年,ＳＲＣ,住宅,住宅,,,,商業地域,80,400,2023年第2四半期,未改装,
不動産取引価格情報,中古マンション等,,26102,京都府,京都市上京区,春日学区,19000000,,１ＬＤＫ,45,,,,,1975年,ＳＲＣ,住宅,,,,,商業地域,80,400,2023年第2四半期,未改装,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,39000000,,２ＬＤＫ,60,,,,,1994年,ＳＲＣ,,,,,,商業地域,,,2023年第2四半期,改装済み,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,32000000,,２ＬＤＫ,60,,,,,1994年,ＳＲＣ,,,,,,商業地域,,,2023年第2四半期,,
成約価格情報,中古マンション等,,26102,京都府,京都市上京区,小川学区,37000000,,２ＬＤＫ＋Ｓ,80,,,,,1982年,ＲＣ,,,,,,商業地域,,,2023年第2四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26102,京都府,京都市上京区,桃薗学区,110000000,,,220,,ほぼ長方形,6.5,490,1998年,鉄骨造,共同住宅,住宅,北,市道,4,準工業地域,60,200,2023年第2四半期,,
